word,total_count,system,system_count,system_sloc,normalized_system_count,languages,contexts,categories
at,1467,crow,5,8484,0.0005893446487505894,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,deeplearning4j,331,554761,0.0005966533335977115,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,drill,54,420706,0.00012835566880434318,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,freeminer,60,516,0.11627906976744186,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,git2r,36,114486,0.0003144489282532362,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,guava,33,145688,0.00022651144912415574,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,immutables,10,47133,0.0002121655740139605,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,libxo,1,9062,0.00011035091591260208,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,meta,9,17650,0.0005099150141643059,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,metrics,1,15234,6.564264145989234e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,mgba,47,335182,0.00014022232697459889,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,naemon-core,1,38923,2.5691750378953318e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,ovs,94,289815,0.0003243448406742232,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,panda3d,56,589605,9.497884176694567e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,proxygen,9,22714,0.0003962313991370961,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,rigraph,94,309989,0.00030323656645880984,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,toggldesktop,89,370691,0.00024009215222381983,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,toxcore,1,24086,4.151789421240555e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,weechat,4,210295,1.9020899213010294e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
at,1467,wireshark,257,4346078,5.9133775325707456e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,Openfire,261,109551,0.002382452008653504,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,Singularity,137,100316,0.0013656844371785159,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,Smack,61,89739,0.000679749050022844,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,Spark,102,91707,0.001112237888056528,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,caffe,15,21754,0.0006895283625999816,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,ccv,309,274433,0.0011259578840737083,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,cglib,3,10058,0.0002982700338039372,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,cling,31,29129,0.0010642315218510761,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,crow,1,8484,0.00011786892975011787,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,deeplearning4j,1959,554761,0.003531250394313948,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,drill,733,420706,0.0017423093561774732,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
in,10286,facebook-repo-ds2,7,9339,0.0007495449191562266,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",preposition
